Marital status,Application mode,Application order,Course,Attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Student ID
Single,2nd phase - General Contingent,1,Management (evening attendance),Evening,Secondary education,154.0,Portuguese,Basic education 2nd cycle (6/7/8th year) or equiv,Basic education 2nd cycle (6/7/8th year) or equiv,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,0046
Single,2nd phase - General Contingent,2,Social Service,Daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Basic education 3rd cycle (9/10/11th year) or equiv,Unskilled Workers,Unskilled Workers,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,0047
Single,2nd phase - General Contingent,6,Nursing,Daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4/5th year) or equiv,Basic education 3rd cycle (9/10/11th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,0048
Single,Technological specialization diploma holders,1,Social Services (evening attendance),Evening,Technological specialization course,130.0,Portuguese,Secondary education,Basic education 3rd cycle (9/10/11th year) or equiv,Unskilled Workers,Unskilled Workers,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,0049
Single,1st phase - General Contingent,1,Social Service,Daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4/5th year) or equiv,Basic education 2nd cycle (6/7/8th year) or equiv,Unskilled Workers,Unskilled Workers,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,0050
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Basic education 2nd cycle (6/7/8th year) or equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,0051
Single,1st phase - General Contingent,1,Nursing,Daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4/5th year) or equiv,Basic education 2nd cycle (6/7/8th year) or equiv,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,0052
Single,1st phase - General Contingent,1,Journalism and Communication,Daytime,Secondary education,127.0,Portuguese,Secondary education,Basic education 3rd cycle (9/10/11th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0053
Single,1st phase - General Contingent,3,Equinculture,Daytime,Secondary education,167.0,Portuguese,Basic education 1st cycle (4/5th year) or equiv,Basic education 1st cycle (4/5th year) or equiv,Other Situation,Other Situation,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,0054
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Basic education 2nd cycle (6/7/8th year) or equiv,Basic education 2nd cycle (6/7/8th year) or equiv,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,0055
Single,1st phase - General Contingent,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Secondary education,Basic education 3rd cycle (9/10/11th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0056
Married,Holders of other higher courser,1,Tourism,Daytime,Higher education - degree,130.0,Portuguese,Secondary education,Higher education - degree,Administrative staff,Intermediate Level Technicians and Professions,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0057
Single,Over 23 years old,1,Equinculture,Daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher education - degree,Higher education - degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,0058
Single,2nd phase - General Contingent,1,Nursing,Daytime,Secondary education,141.0,Portuguese,Basic education 2nd cycle (6/7/8th year) or equiv,Basic education 2nd cycle (6/7/8th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,0059
Single,1st phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary education,125.0,Portuguese,Basic education 2nd cycle (6/7/8th year) or equiv,Basic education 1st cycle (4/5th year) or equiv,Administrative staff,Unskilled Workers,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,0060
Single,1st phase - General Contingent,2,Nursing,Daytime,Secondary education,125.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Basic education 3rd cycle (9/10/11th year) or equiv,Unskilled Workers,Unskilled Workers,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,0061
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Secondary education,Unskilled Workers,Unskilled Workers,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,0062
Single,2nd phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary education,133.0,Portuguese,Secondary education,Basic education 1st cycle (4/5th year) or equiv,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,0063
Single,2nd phase - General Contingent,1,Communication Design,Daytime,Secondary education,127.0,Portuguese,Secondary education,Secondary education,Intermediate Level Technicians and Professions,Administrative staff,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,0064
Single,Change of course,1,Communication Design,Daytime,Secondary education,116.0,Portuguese,Secondary education,Secondary education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,0065
Divorced,Transfer,1,Nursing,Daytime,Basic education 3rd cycle (9/10/11th year) or equiv,133.1,Portuguese,Secondary education,Secondary education,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,0066
Single,1st phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary education,139.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Basic education 3rd cycle (9/10/11th year) or equiv,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,0067
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,130.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Basic education 1st cycle (4/5th year) or equiv,Unskilled Workers,Unskilled Workers,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,0068
Single,1st phase - General Contingent,3,Management,Daytime,Secondary education,125.0,Portuguese,Secondary education,Basic education 2nd cycle (6/7/8th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,0069
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,160.0,Portuguese,Basic education 3rd cycle (9/10/11th year) or equiv,Basic education 1st cycle (4/5th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,100.0,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,0070
